application_id,case_index,method_label,parameter_name,parameter_value,shots,success_probability,best_normalized_accuracy,ARG,best_ARG,precision_score,best_precision_score,precision_percent,best_precision_percent,approximation_ratio_gap,in_constraints_probs,best_solution_probs,mean_cost,best_cost,feasible_probability,best_feasible_probability,sampled_expected_objective,best_objective,optimizer,simulation_backend,problem_n,parameter_count,parameter_vector,noise_model,noise_single_qubit_error,noise_two_qubit_error,noise_readout_error
Func-8,21,method,cobyla_iteration,21,256,1.0,1.0,1.60845920999777,1.60845920999777,0.383368080346886,0.383368080346886,38.3368080346886,38.3368080346886,1.60845920999777,97.265625,0.78125,4.204453124999999,-6.91,0.97265625,0.97265625,6.715301204819276,6.91,COBYLA,aer_noise,11,7,1.46019573269;1.09336368869;1.78919681445;1.44229782659;0.0645302627901;1.75986192662;1.50867078402,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,1,baseline,cobyla_iteration,1,256,0.0,0.0,335.9032430693244,335.9032430693244,0.0029682112611609103,0.0029682112611609103,0.296821126116091,0.296821126116091,335.9032430693244,0.0,0.0,2314.1814062499993,-6.91,0.0,0.0,9.256093750000002,,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.149599650171;0.112199737628;0.0897597901026;0.0747998250855;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,2,baseline,cobyla_iteration,2,256,0.0,0.0,364.63973234752507,364.63973234752507,0.0027349325347649648,0.0027349325347649648,0.2734932534764965,0.2734932534764965,364.63973234752507,0.0,0.0,2512.750546875001,-6.91,0.0,0.0,9.124453124999999,,COBYLA,aer_noise,11,28,1.04879895051;0.224399475256;0.149599650171;0.112199737628;0.0897597901026;0.0747998250855;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,3,baseline,cobyla_iteration,3,256,0.0,0.0,342.93889114390566,342.93889114390566,0.002907493237168097,0.002907493237168097,0.29074932371680967,0.29074932371680967,342.93889114390566,0.390625,0.0,2362.7977343749994,-6.91,0.00390625,0.00390625,6.28,6.28,COBYLA,aer_noise,11,28,0.448798950513;0.824399475256;0.149599650171;0.112199737628;0.0897597901026;0.0747998250855;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,4,baseline,cobyla_iteration,4,256,0.0,0.0,321.6602415110859,321.6602415110859,0.0030992352677751346,0.0030992352677751346,0.30992352677751345,0.30992352677751345,321.6602415110859,0.0,0.0,2215.7622656250014,-6.91,0.0,0.0,7.6752343750000005,,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.0897597901026;0.0747998250855;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,5,baseline,cobyla_iteration,5,256,0.0,0.0,362.8475154491281,362.8475154491281,0.0027484040911083716,0.0027484040911083716,0.2748404091108372,0.2748404091108372,362.8475154491281,0.0,0.0,2500.366328125,-6.91,0.0,0.0,7.446171875000002,,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.712199737628;0.0897597901026;0.0747998250855;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,6,baseline,cobyla_iteration,6,256,0.42857142857142777,0.42857142857142777,324.08066933658563,324.08066933658563,0.0030761595330807225,0.0030761595330807225,0.30761595330807223,0.30761595330807223,324.08066933658563,0.0,0.0,2232.487421875,-6.91,0.0,0.0,8.137578125,,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.0747998250855;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,7,baseline,cobyla_iteration,7,256,0.8571428571428578,0.8571428571428578,275.1327620208143,275.1327620208143,0.003621446411073171,0.003621446411073171,0.3621446411073171,0.3621446411073171,275.1327620208143,0.0,0.0,1894.2573828124994,-6.91,0.0,0.0,7.305117187499999,,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,8,baseline,cobyla_iteration,8,256,0.8571428571428578,0.8571428571428578,247.47432425466621,247.47432425466621,0.00402456069857375,0.00402456069857375,0.402456069857375,0.402456069857375,247.47432425466621,2.34375,0.0,1703.1375781250003,-6.91,0.0234375,0.0234375,6.56,6.6899999999999995,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.664114135788;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,9,baseline,cobyla_iteration,9,256,0.8571428571428578,0.8571428571428578,213.52538810748965,213.52538810748965,0.004661452934880333,0.004661452934880333,0.4661452934880333,0.4661452934880333,213.52538810748965,3.125,0.0,1468.5504296874994,-6.91,0.03125,0.03125,6.5424999999999995,6.6899999999999995,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.656099868814;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
